V1,V2,Lonzo Ball,
Bsmooth@3AM,"Los Angeles, CA",California,
nick pearcy,"Yorba Linda, CA",California,
Carmen Campuzano,"Torrance, CA",California,
Armon Muldrew,"Perris, CA",California,
Jesus Esstrada,"Taft, CA",California,
"campoÂ©¨¹¦Â©â¨¹¦¬""Slidell"," LA""",California,
Emmanuel L. Butler,"Los Angeles, CA",California,
Tyrone,"Redondo Beach, CA",California,
Ian Salazar,"Gardena, CA",California,
Nick Wilde,"Pomona, CA",California,
Sugar Water Lemon,"Costa Mesa, CA",California,
Lambo,"San Jose, CA",California,
((Creative Genius)),"Los Angeles, CA",California,
Jose Leon,"Whittier, CA",California,
alex,"Hesperia, CA",California,
BXBY(',"Downey, CA",California,
CG,"Los Angeles, CA",California,
xiejiongpaulzhang,"Diamond Bar, CA",California,
Heisenberg,"Irvine, CA",California,
RaiderSports365,"Los Angeles, CA",California,
Kasino,"Fresno, CA",California,
PEYTONWITHDAHOODIE,"Slidell, LA",California,
"Allen Â©¨¹¦Â©â¨¹¦¬""San Diego"," CA""",California,
Fan Perspective,"Los Angeles, CA",California,
Andy Herscovici,Oxnard,California,
chelsss,LA,California,
John,"Orange County, CA",California,
Cougar Pride,"Los Angeles, CA",California,
Drew G. Berry,"Los Angeles, CA",California,
Jiehui Zhang,"Irvine, CA",California,
matt heil,"San Bernardino, CA",California,
Adam Kayne,"Los Angeles, CA",California,
2,"Chino Hills, CA",California,
-NÂ©V>yOl;NZQ-N,"Los Angeles, CA",California,
Dru Kotleba,"Long Beach, CA",California,
"BalleroÂ©¨¹¦Â©â¨¹¦¬""Los Angeles"," CA""",California,
Adan Figueroa,"Los Angeles, CA",California,
Benson,"Diamond Bar, CA",California,
iHOLLYWOODi,"HOLLYWOOD, CA",California,
23logan_h,"Lemoore, CA",California,
IT'S BROWN OR NEVER,"Moreno Valley, CA",California,
FJG,"Los Angeles, CA",California,
Rufus Chambers,"Los Angeles, CA",California,
Brianna Campbell,"Corona, CA",California,
victoria,"Los Angeles, CA",California,
Nicko,"Compton, CA",California,
lt1_pepe,"Sacramento, CA",California,
Ronald Betts,"Los Angeles, CA",California,
Daniel,"Los Angeles, CA",California,
jesus,"Compton, CA",California,
Cynthia Gutierre,"Anaheim, CA",California,
"DannyÂ©¨¹¦Â©â¨¹¦¬""Orosi"," CA""",California,
Marcos,"Anaheim, CA",California,
Cesar,"Santa Clarita, CA",California,
Steven,"Los ngeles, CA",California,
Robert Lopez,"Inglewood, CA",California,
owen camerino,"Rolling Hills Estates, CA",California,
Chris Barry,"Dana Point, CA",California,
TriPhoenixEnt,"Beverly Hills, CA",California,
Christian Zamudio,"Los Angeles, CA",California,
Santiago Perez,"Jurupa Valley, CA",California,
"Â©¨¹¦Â©â¨¹¦Â©â¨¹¦Â©â¨¹¦Â©â¨¹¦Â©â¨¹¦Â©â¨¹¦Â©â¨¹¦Â©â¨¹¦Â©â¨¹¦Â©â¨¹¦Â©â¨¹¦Â©â¨¹¦Â©â¨¹¦Â©â¨¹¦Â©â¨¹ Â©¨¹¦Â©â¨¹¦Â©â¨¹¦Â©â¨¹¦Â©â¨¹¦Â©â¨¹¦Â©â¨¹¦Â©â¨¹¦Â©â¨¹¦Â©â¨¹¦Â©â¨¹¦Â©â¨¹¦¬""Irvine"," CA""",California,
Marjorie Kidd,"Anaheim, CA",California,
geno_nono,"Temescal Valley, CA",California,
Jonah,"Sebastopol, CA",California,
Julio Manzo,"North Highlands, CA",California,
Carlos Miramontes,"Fullerton, CA",California,
Briana Hernandez,"Carson, CA",California,
xxj$phxrmrxx,"San Bernardino, CA",California,
Adaham,"Paramount, CA",California,
WazGood (8-2),"Gilroy, CA",California,
Eric Toddwilliams,"Fontana, CA",California,
jose,"Pomona, CA",California,
Alex Bylsma,"Long Beach, CA",California,
Cristina Alvizo,"Santa Ana, CA",California,
Prodigypudding,"Perris, CA",California,
salvador,"San Diego, CA",California,
dew rhodes,LA,California,
thefamousbrat,"Long Beach, CA",California,
Cesar,"Northridge, Los Angeles",California,
Spicoli,"Los Angeles, CA",California,
Jay Estupinan,"Bossier City, LA",California,
Luis Machado,"Lakewood, CA",California,
WhosApolloFTW,"Santa Ana, CA",California,
GeosAmadeusPichardoR,"Long Beach, CA",California,
Sergey Ternov,"Los Angeles, CA",California,
Fernando Saldana ,"Bakersfield, CA",California,
Casper,"Santa Maria, CA",California,
Tyriq,"Moreno Valley, CA",California,
Ryan Harrison Sr.,"Sacramento, CA",California,
Brandon Waloff,"Oakland, CA",California,
thirty_one_savage,"Rancho Cucamonga, CA",California,
Jason Matossian,"Los Angeles, CA",California,
Leart Grbeshi,"San Jose, CA",California,
Curtis Harvey Core Field Solutions Engineer PCM,"Buena Park, CA",California,
Gary Valenzuela,"Yucca Valley, CA",California,
Qian,"Irvine, CA",California,
chompiras,"East Los Angeles, CA",California,
A Generic,"San Diego, CA",California,
Gilbert Guerra,"Rialto, CA",California,
"Â©¨¹¦Â©â¨¹¦Óniper Â©¨¹¦Â©â¨¹¦¬""Orosi"," CA""",California,
Mike Alvarez,"Los Angeles, CA",California,
vanessa moreno,"Anaheim, CA",California,
Angie,"Santa Rosa, CA",California,
we_got_the_#GREENS_H6,"Compton, CA",California,
"MikeyÂ©¨¹¦Â©â¨¹¦¬""Richmond"," CA""",California,
edwardclipperhands,"Oakland, CA",California,
Did Lonzo Suck?,"Los Angeles, CA",California,
Tony Prada,"Oakland, CA",California,
Ziggy(',"New Orleans, LA",California,
Brianna Herrera,"Anaheim, CA",California,
Gary Chahil,"Clovis, CA",California,
Gus Ellis,"San Francisco, CA",California,
vincent,"Oxnard, CA",California,
Louis Verduzco,"San Mateo, CA",California,
DeVon,"Chico, CA",California,
Deborah Marez,"Los Angeles, CA",California,
Sharp,"Los Angeles, CA",California,
Yao Wu,"San Francisco, CA",California,
Sils,"Los Angeles, CA",California,
Adriana,San Francisco,California,
JTorres562,"Downey, CA",California,
Web Marketing USA,Los Angeles,California,
Jeremiah Jason,"Metairie, LA",California,
Mariota,"Carson, CA",California,
brit,"Los Angeles, CA",California,
Charlotte Lozano,"Buena Park, CA",California,
Isobel,"Los Angeles, CA",California,
vicki pq lockhart,"Los Angeles, CA",California,
Francisco Esquivel,"San Jose, CA",California,
"Â©¨¹¦Â©â¨¹¦Â©â¨¹¦Â©â¨¹¦Â©â¨¹¦Â©â¨¹¦Â©â¨¹¦Â©â¨¹¦Â©â¨¹¦Â©â¨¹ Â©¨¹¦Â©â¨¹¦Â©â¨¹¦Â©â¨¹¦Â©â¨¹¦Â©â¨¹¦Â©â¨¹¦Â©â¨¹¦¬""Moreno Valley"," CA""",California,
Hello Harry,"Los Angeles, CA",California,
Linda,"Diamond Bar, CA",California,
Marcos Navarro,"Marysville, CA",California,
German,"Fresno, CA",California,
Luke Bell,"Manhattan Beach, CA",California,
Lavar Ballsack,"Los Angeles, CA",California,
DebatesMan,"Mid-City West, Los Angeles",California,
JG,"Los Angeles, CA",California,
"Â©¨¹¦Â©â¨¹¦Â©â¨¹¦Â©â¨¹¦Â©â¨¹¦Â©â¨¹¦¬""Bossier City"," LA""",California,
tea,"Los Angeles, CA",California,
Heather Howard,"Mar Vista, Los Angeles",California,
Olivia,"San Diego, CA",California,
Juanito,"Woodland, CA",California,
s1TPl,"Los Angeles, CA",California,
.,"Dinuba, CA",California,
Ankur Shah,"Bay Area, CA",California,
Chris Mendoza,"Boyle Heights, Los Angeles",California,
Megan Wayman,"The Bubble, CA ",California,
"LemonÂ©¨¹¦Â©â¨¹¦¬""San Diego"," CA""",California,
Laker Gang,"Los Angeles, CA",California,
Cinnamon Brown,"West Hollywood, CA",California,
A.P. ,"San Diego, CA",California,
Jatin Tahiliani,"Pleasanton, CA",California,
salene rose,"Chino Hills, CA",California,
jacutie,"Brentwood, CA",California,
josetelis1979,"Pomona, CA",California,
DuplexCarrot844,"Oxnard, CA",California,
jose,"Bell, CA",California,
"$CANLESSÂ©¨¹¦Â©â¨¹¦Â©â¨¹¦Â©â¨¹¦¬""Los Angeles"," CA""",California,
Leonard DuBuisson,"Ponchatoula, LA",California,
Angel Murillo,"San Bernardino, CA",California,
scott parker,"Newport Beach, CA",California,
DEROY,"New Orleans, LA",California,
tomi babalola,"Los Angeles, CA",California,
chad urquhart,"Bay Area, CA",California,
Jayar Jackson,Los Angeles,California,
Edgar Lopez,"Bakersfield, CA",California,
Worthy,"Lemon Grove, CA",California,
Peggy White,"Los Angeles, CA",California,
David,"Downey, CA",California,
Nat,"Seacliff, Huntington Beach, CA",California,
Mateo Gonzales,Los Angeles,California,
pro per,"Los Angeles, CA",California,
Pedro Villa Vasquez,"Long Beach, CA",California,
Edward Augustine,"San Francisco, CA",California,
Yvonne Gomez(',"Seaside, CA",California,
"jolly peyÂ©¨¹¦Â©â¨¹¦Â©â¨¹¦Â©â¨¹¦Â©â¨¹¦Â©â¨¹¦¬""New Orleans"," LA""",California,
patrick,"Santa Ana, CA",California,
DeAnna Capers,"West Monroe, LA",California,
Ashley A Wilson,"Redondo Beach, CA",California,
$lumped,"Norwalk, CA",California,
steventran,"Anaheim, CA",California,
Ant Stacks,"Bakersfield, CA",California,
Denise,"Los Angeles, CA",California,
Paul Sublette,"Redding, CA",California,
Brandon,"Santa Cruz, CA",California,
a l e x x a,"Los Angeles, CA",California,
Carlos Davadi,"Goleta, CA",California,
Jayden Hanson,"Laguna Niguel, CA",California,
DulceAlmanza52@gmil.con,"Santa Ana, CA",California,
jonathan_k.t.a187,"Los Angeles, CA",California,
Andres Magallanes,"Inglewood, CA",California,
Lex Reneau,"Clovis, CA",California,
LSHS Girls Soccer,"Riverside, CA",California,
WILD-N-BEATS,"Compton, CA",California,
Migue,"Berkeley, CA",California,
Ricky Garcia,"Los Angeles, CA",California,
Kayla's Spa Suite,"Seal Beach, CA",California,
Jamie Jones,"Los Angeles, CA",California,
Tristan Olson,"Monrovia, CA",California,
Ray,"La Habra, CA",California,
Natalia Facio,"Santa Ana, CA ",California,
Roge,"La Puente, CA",California,
Ana Miranda,"Visalia, CA",California,
Max Rubens,"Palos Verdes Estates, CA",California,
Steven Davis,"East Pasadena, CA",California,
Penny Proud,"NorWalK, CA",California,
Lori Dale,"South Bay, CA ",California,
Mottleycrude,"Cerritos, CA",California,
"Â©¨¹¦Â©â¨¹¦¬""Los Angeles"," CA""",California,
AL'ari Agee,"Los Angeles, CA",California,
Ashley Cruz,"Fountain Valley, CA",California,
Liu Yuchi,"New Orleans, LA",California,
Jeremy Schafer,"Durham, CA",California,
parker whitmarsh,"Yorba Linda, CA",California,
kimberly,"Santa Ana, CA",California,
Missael Vazquez,"San Diego, CA",California,
Mitchell B-W,"Pasadena, CA",California,
Dead,"Huntington Beach, CA",California,
Juan C Carter,"Rancho Cucamonga, CA",California,
Darreus Rogers,"Compton, CA",California,
Jasmine,"Los Angeles, CA",California,
"DevÂ©¨¹¦Â©â¨¹¦¬""San Francisco"," CA""",California,
John Noel,"Los Angeles, CA",California,
Anthony Aguilar,"Gilroy, CA",California,
David,"Los Angeles, CA",California,
D Mohon,"Lutcher, LA",California,
RL_5,"Monrovia, CA",California,
kaymen,"Baton Rouge, LA",California,
Jalen Flowers,"Culver City, CA",California,
Trevon Mathis,"Sacramento, CA",California,
savage.mari23,"Napoleonville, LA",California,
Kevin,"Manteca, CA",California,
Sirrele,"Los Angeles, CA",California,
humming bird,"Claremont, CA",California,
Pollypocket,"Rosemead, CA",California,
Sevv,"Los Angeles, CA",California,
Kenny Truong,"San Jose, CA",California,
Carlos Figueroa,"Pasadena, CA",California,
Haz,"Los Angeles, CA",California,
kevin morrison,"Newport Beach, CA",California,
martin muniz,"Torrance, CA",California,
Ari Granados,"Los Angeles, CA",California,
Frank urbina,"Fontana, CA ",California,
terror,"Santa Ana, CA",California,
delete,"Eastvale, CA",California,
Gabriel Gavia,"Fresno, CA",California,
"gam3tim3Â©¨¹¦Â©â¨¹¦Â©â¨¹¦Â©â¨¹¦Â©â¨¹¦Â©â¨¹¦¬""Los Angeles"," CA""",California,
Kenny Breaux,"Rialto, CA",California,
Anthony Macias,"La Mirada, CA",California,
Kashif Carti,"Porterville, CA",California,
Marky,"Santa Fe Springs, CA",California,
Javian Harrington,"Brawley, CA",California,
Swagged up Johnson,"From Daygo to El Cajon,CA",California,
Jaren De Guia,"Cypress, CA",California,
Seena Kaboli,"Huntington Beach, CA",California,
Evelyn Pena,"Lake Elsinore, CA",California,
Madelin,"Los Angeles, CA",California,
Ayee.Jesus,"Long Beach, CA",California,
"KiahÂ©¨¹¦Â©â¨¹¦Â©â¨¹¦Â©â¨¹¦¬""Bogalusa"," LA""",California,
Giselle,"Pittsburg, CA",California,
Nallely Molina,"Santa Maria, CA",California,
Jason Hoang,"Los Angeles, CA",California,
_xxc__,"Westminster, CA",California,
melt,"Torrance, CA",California,
"PoodieÂ©¨¹¦Â©â¨¹¦¬""Ladera Heights"," CA""",California,
"5	?	(	K	&	 	K	/	2	","Chino, CA",California,
Nayeli Orozco,"Costa Mesa, CA",California,
Joshskrt,"Thousand Oaks, CA",California,
Letty Fernandez,"Selma, CA",California,
shxne VR,"Lathrop, CA",California,
Halo Cyber Parts Co,"Adelanto, CA",California,
Jack Puchalski,"Rohnert Park, CA",California,
joey,"El Monte, CA",California,
Ricky,"Vacaville, CA",California,
Carlos,"Santa Ana, CA",California,
UnsportsmanlikeGumbo,"Sacramento, CA",California,
Desmond,"Vallejo, CA",California,
Aurora,"Vallejo, CA",California,
David,"Placentia, CA",California,
Dswaag  ¨¹ ;¢æ%d%% = =,"Santa Ana, CA",California,
Blake Wilson,"Camarillo, CA",California,
"Â©¨¹¦Â©â¨¹¦Â©â¨¹¦Â©â¨¹¦Â©â¨¹¦Â©â¨¹
 B&","Los Angeles, CA",California,
Nicandro,"Long Beach, CA",California,
Bryan Ayala-Rivera,"Riverside, CA",California,
C. ROB,"Ladera Heights, CA",California,
OKC FANATIC,"Chino Hills, CA",California,
Tyler Zsakany,"Los Angeles, CA",California,
eduardo,"Garden Grove, CA",California,
City Fame Brand,"Los Angeles, CA",California,
Bryan Ramirez,"Malibu, CA",California,
ally marie,"San Francisco, CA",California,
Darwin Rodas,"San Francisco, CA",California,
Alan Diaz,"Calexico, CA",California,
Jake MacRae,"Long Beach, CA",California,
christian pettinato,"La Mirada, CA",California,
Antonio Nelson,"Shreveport, LA",California,
james barmasse,"Los Angeles, CA",California,
Clout,"Los Angeles, CA",California,
Rhonda Anawalt,"Pasadena, CA",California,
Dimonque Matthews,"Houma, LA",California,
Francisco javier,"Los Angeles, CA",California,
Rahul Pandey,"San Francisco, CA",California,
Connor Hattery,"San Jose, CA",California,
Vega,"Fullerton, CA",California,
Levi Teal Roach,Point Arena,California,
Alexies Diaz,"Downey, CA",California,
Cam,"Chino Hills, CA",California,
Anth0ny,"Los Angeles, CA",California,
Donovan House,"Orange, CA",California,
Kenneth Austin,"Los Angeles, CA",California,
Claudia Prado,"Oxnard, CA",California,
JayyXVII,"Visalia, CA",California,
Ryan Ho,"Stockton, CA",California,
Ninja Nery,"Los Angeles, CA",California,
BufFish,"Okaga,CA",California,
Robertomenendez,"San Francisco, CA",California,
david sease,"San Joaquin, CA",California,
Brap81,"Pasadena, CA",California,
Rafael Nuguid,"Los Angeles, CA",California,
Jack M Jamsakian,"Los Angeles, CA",California,
samantha v .,"Los Angeles, CA",California,
Lorenzo,"Berkeley, CA",California,
Heidy Galarza,"Los Angeles, CA",California,
"Josh Â©¨¹¦Â©â¨¹¦¬""Clovis"," CA""",California,
"Essketitt_breezyd'¢Â©â¨¹¦Â©â¨¹¦Â©â¨¹¦Â©â¨¹¦¬""Pueblo"," CO""",Colorado,
riiah,"Denver, CO",Colorado,
Harrison Minor,"Caon City, CO",Colorado,
kryzr,"Greeley, CO",Colorado,
Hudson Scofield,"Colorado Springs, CO",Colorado,
Pandaman Gaming,"Fort Collins, CO",Colorado,
Jarrod Serafine,"Denver, CO",Colorado,
Eric Jones,"Greeley, CO",Colorado,
Papi Shampoo,"Pueblo, CO",Colorado,
Trent Pasvogel,Colorado Springs,Colorado,
Jesus Chavez,"Pueblo, CO",Colorado,
Derek Cervantes,"Denver, CO",Colorado,
Kiko & G,"Denver, CO",Colorado,
Bobby De'niro,"Denver, CO",Colorado,
barce11o,"Westminster, CO",Colorado,
Cam O Day,"Grand Junction, CO",Colorado,
Molly,"Northglenn, CO",Colorado,
miketrouts,"Colorado Springs, CO",Colorado,
Angelo Garcia,"Denver, CO",Colorado,
"vaneÂ©¨¹¦Â©â¨¹¦¬""Denver"," CO""",Colorado,
Miguel',"Denver, CO",Colorado,
El Keemo,"Denver, CO",Colorado,
@CMB_85,"Denver, CO",Colorado,
Jaedin,"Denver, CO",Colorado,
Trevon,"Denver, CO",Colorado,
Contwixt Nick,"USA -- Gunbarrel, CO",Colorado,
Evan,"Colorado Springs, CO",Colorado,
Stephen Jones,"Colorado Springs, CO",Colorado,
"RayelleÂ©¨¹¦Â©â¨¹¦¬""Denver"," CO""",Colorado,
Diego,"Thornton, CO",Colorado,
Valerie Robin Welles,"Caon City, CO",Colorado,
"Ily!Â©¨¹¦Â©â¨¹¦¢"",Centennial"," CO""",Colorado,
Miriam Delgado,"Fort Morgan, CO",Colorado,
Troy Carpenter,"Denver, CO",Colorado,
marcsimkin,Scotland,Connecticut,
Mardah Resonance,"Ansonia, CT",Connecticut,
Marcus Jammy Harris,"Ledyard, CT",Connecticut,
Vincent Wright,"West Hartford, CT",Connecticut,
Alexis,"Seymour, CT",Connecticut,
mason gregory,"Milford, CT",Connecticut,
Mike & Mike,"Bristol, CT",Connecticut,
Sean Barclay,"Kilmarnock, Scotland",Connecticut,
Kristijan Begic,"New Haven, CT",Connecticut,
"David Â©¨¹¦Â©â¨¹¦Â©â¨¹¦Â©â¨¹¦Â©â¨¹¦Â©â¨¹¦¬""South Carolina"," Columbia""",Connecticut,
"Logan Brandriff Â©¨¹¦Â©â¨¹¦¬""Branford"," CT""",Connecticut,
Earl DuBois,Brooklyn,Connecticut,
dan,"Motherwell, Scotland",Connecticut,
Justin,"Milford, CT",Connecticut,
Stay',"Norwalk, CT",Connecticut,
Saul Kiloh,"Glasgow, Scotland",Connecticut,
Nikitia Tillman,"New Haven, CT",Connecticut,
Brownsvillain,"Brownsville, Brooklyn",Connecticut,
David Kluczwski,"Ellington, CT",Connecticut,
Dante Gugliotti,"Newington, CT",Connecticut,
Jack mcwilliam,"Perth, Scotland",Connecticut,
"Mina Â©¨¹¦Â©â¨¹¦¬""New Britain"," CT""",Connecticut,
Kellven Lima,"Hartford, CT",Connecticut,
"Javon A Â©¨¹¦Â©â¨¹¦¬""New Haven"," CT""",Connecticut,
BQ,Brooklyn,Connecticut,
Bad Hombre,Brooklyn,Connecticut,
Douglas Young,"Glasgow, Scotland",Connecticut,
#CowboysNation (3-3),"Newark, DE",Delaware,
Kinglearmoney,"Newark, DE",Delaware,
Kyle Reese,"New Castle, DE",Delaware,
Makayla Plummer,"Dover, DE",Delaware,
Jack Burns,"Wilmington, DE",Delaware,
Aaron Webb,"Wilmington Manor, DE",Delaware,
Clifton M. Pettyjohn,"Dover, DE",Delaware,
SydÂ©¨¹¦Â©â¨¹¦Õ',"Austin, TX & Milton,DE",Delaware,
Canned Cranberry Sauce Lawyer (Bar Pending),"Murdertown USA, DE",Delaware,
YungWaterGawd,Apopka,Florida,
Simonnnnnn,"Miami, FL",Florida,
carlo.,"Clearwater, FL",Florida,
Edgar Joel,"Orlando, FL",Florida,
Jonathan Rodriguez,"Miami, FL",Florida,
"Alexis Goez¢Â©â¨¹¦Â©â¨¹¦Â©â¨¹¦Â©â¨¹¦¬""Kissimmee"," FL""",Florida,
Jake Suppo,"Boca Raton, FL",Florida,
runey mendez,Tampa,Florida,
Bayron Acevedo,"Palmetto, FL",Florida,
Jake Ritter,"Port St Lucie, FL",Florida,
Estellita Brate,"Casselberry, FL",Florida,
Lilkid Laylay,"Pensacola, FL",Florida,
Tre Brown,"Orlando, FL",Florida,
Keysha Williams,"Tampa, FL",Florida,
Alexa Grace,"St. Petersburg, FL",Florida,
Miami HEAT NATION,"North Miami Beach, FL",Florida,
Matt Damion,"Callahan, FL",Florida,
LLI ,Plant City ,Florida,
max spinner,"Boca Raton, FL",Florida,
Dorian Hidalgo,"Wesley Chapel, FL",Florida,
Twelvefifty8,"Tampa, FL",Florida,
Richie Alfonso,"Miami, FL",Florida,
Jesse James,"Orlando, FL",Florida,
Ethan James Ronchi,"Clyde North, Melbourne",Florida,
curlyy.friess,"Kissimmee, FL",Florida,
eduardo hurtado,Jupiter ,Florida,
Big Hair Beauty,"Miami, FL",Florida,
Brandon Amick,"Daytona Beach, FL",Florida,
Lex,"Tallahassee, FL",Florida,
Alex,"West Palm Beach, FL",Florida,
DaNixFan,"NYC,FL",Florida,
"Â©¨¹¦Â©â¨¹¦Â©â¨¹¦Â©â¨¹¢æ'¢Â©â¨¹¦Â©â¨¹¦Â©â¨¹¦Â©â¨¹¦¬""Tampa"," FL""",Florida,
Patrick,"Pembroke Pines, FL",Florida,
Eric_Costanzo,"Tampa, FL",Florida,
Meka,"Jacksonville, FL",Florida,
peter rojas,"Miami, FL",Florida,
"Randy Estime Â©¨¹¦Â©â¨¹¦¬""Pompano Beach"," FL""",Florida,
Alex Farnworth,"Orlando, FL",Florida,
Nico Butnaru,"Miami, FL",Florida,
Michael Zhang,"Tallahassee, FL",Florida,
negative nancy (',"Niceville, FL",Florida,
Dr Philinyoass,FL,Florida,
Jadaa&,"Jacksonville, FL",Florida,
Calvin Collins,"Fort Myers, FL",Florida,
Joao Pedro Correa,"Viera West, FL",Florida,
israel castillo,"Miami, FL",Florida,
Rich Wayne,"North Miami Beach, FL",Florida,
Julian,"Palm Beach Gardens, FL",Florida,
reid pace,"Ensley, FL",Florida,
Susan,"Orange Park, FL",Florida,
Christian Richardson,"Pensacola, FL",Florida,
Dan J Smith,"St. Petersburg,  FL",Florida,
Chandler Charite,"Gainesville, FL",Florida,
King,"Orlando, FL",Florida,
Davon Lambert,"New Port Richey, FL",Florida,
mudell66,"Miami, FL",Florida,
THE BLACK FACTION,"WARLANDO, FL",Florida,
Imelta,"Orlando, FL",Florida,
Joe Knight,"Miami, FL",Florida,
Zack Rothman,"Fort Myers, FL",Florida,
"QuezÂ©¨¹¦Â©â¨¹¦¡""","Panama City, FL",Florida,
Fla,Sydney,Florida,
Sanjay Patel,"Satellite Beach, FL",Florida,
robert walker,Orange Park,Florida,
Mike Flanagan,"Miami, FL",Florida,
NicholasClayton,"Naples, FL",Florida,
Jerico Laurel,Jupiter,Florida,
Josh Lopez,"Palm Harbor, FL",Florida,
Yasser Nejjary,"St Petersburg, FL",Florida,
RaReal'a,"Pensacola, FL",Florida,
Ruben Palacios,"Fort Lauderdale, FL",Florida,
"N5.7 Â©¨¹¦Â©â¨¹¦Â©â¨¹¦Â©â¨¹¦¬""Miami"," FL""",Florida,
Stephen R Stice,"Ormond Beach, FL",Florida,
Cruz Bealsey,"Caroline Springs, Melbourne",Florida,
Alexander,"Tampa, FL",Florida,
"Geraldo Mena Â©¨¹¦Â©â¨¹¦¬""Kissimmee"," FL""",Florida,
joiash,"Panama City, FL",Florida,
Jerome Pitt,"Palm Bay, FL",Florida,
Paul Feyen,"Nocatee, FL",Florida,
caleb,"Greensborough, Melbourne",Florida,
"arv Â©¨¹¦Â©â¨¹¦Â©â¨¹¦Â©â¨¹
 Â©¨¹¦Â©â¨¹¦¢,London,West Virginia
Christian,St Petersburg"," FL""",Florida,
isaiahp_motivation,"Naples, FL",Florida,
Julian Oliver,"Erskineville, Sydney",Florida,
Ignacio.,"Miami, FL",Florida,
malik,"Jacksonville Beach, FL",Florida,
Carlton Shen,"Ultimo, Sydney",Florida,
Ronald Rojas,"Hialeah, FL",Florida,
Son of David,"Orlando, FL",Florida,
IG: Rozayyyyyy____,"Chicago, IL  Miami,FL",Florida,
Alaska Juneau,"Orlando, FL",Florida,
Flashwet&,"Homestead, FL",Florida,
Jean Aquino,"Doral, FL",Florida,
ruzan,"Miami, FL",Florida,
"Â©¨¹¦Â©â¨¹ G`,Ã¼¨¹Â©¨¹¦Â©â¨¹¦¢,Howey-in-the-Hills"," FL""",Florida,
Dante Cummings,"Eustis, FL",Florida,
Jacinda Rassa,"Fort Walton Beach, FL",Florida,
(9-7) Goatstaps Porzingod,"Miami Beach, FL",Florida,
ivbidden,"Carol City, FL",Florida,
Jon Cooksey,"Tallahassee, FL",Florida,
"JayhessyÂ©¨¹¦Â©â¨¹¦¬""Orlando"," FL""",Florida,
Amanda,"Davie, FL",Florida,
Jeremy Houghtaling,"Clearwater, FL",Florida,
nll,Melbourne,Florida,
Carlos,"Miami, FL",Florida,
"Â©¨¹¦Â©â¨¹¦Â©â¨¹¦Â©â¨¹¦¬""Seminole"," FL""",Florida,
ignoreddust,"Mandarin, FL",Florida,
Jay wilson,"St Petersburg, FL",Florida,
Isaac Atwood,"Palm Coast, FL",Florida,
Tayla Newman,Melbourne,Florida,
Izzy DeGros III,"Cape Coral, FL",Florida,
JRM,"San Carlos Park, FL",Florida,
YonPatrici,"Miami Springs, FL",Florida,
mixx,"Villas, FL",Florida,
James Morgan,"Orlando, FL",Florida,
Landen Ostendorf,"Boca Raton, FL",Florida,
johann Ariel Alfaro,"Orlando, FL",Florida,
"Darin r0Â©¨¹¦Â©â¨¹¦¬""Sunrise"," FL""",Florida,
"MaliqueÂ©¨¹¦Â©â¨¹¦¬""Orange Park"," FL""",Florida,
Eddie Kane,UCF,Florida,
Keion,"Orlando, FL",Florida,
Aramis Pena,"Gateway, FL",Florida,
Finn Vaughn,"DeLand, FL",Florida,
Kyle Oliver,"Ormond-by-the-Sea, FL",Florida,
Oren Major #DON40,"Atlanta, GA",Georgia,
"MelÂ©¨¹¦Â©â¨¹¦¬""Atlanta"," GA""",Georgia,
That.kid_Cj,"Atlanta, GA",Georgia,
Kody Peaks,"Douglasville, GA",Georgia,
Jacob Brumby,"Jasper, GA",Georgia,
"hennywiseÂ©¨¹¦Â©â¨¹¦¬""College Park"," GA""",Georgia,
Timothy,"albany, GA",Georgia,
jerz,"Hawkinsville, GA",Georgia,
R E V E R E N D,"Roswell, GA",Georgia,
Joseph Sisson,"Ellijay, GA",Georgia,
Ss4L_Smoke,"Thomaston, GA",Georgia,
Ari Sarsalari,"Atlanta, GA",Georgia,
Shroderickbaynes,"Covington, GA",Georgia,
Eli Rogers,"Athens, GA",Georgia,
Dr. Samantha R Fitts,"Atlanta, GA ",Georgia,
Kenny,"Savannah, GA",Georgia,
Chance Amell,"Peachtree City, GA",Georgia,
Â©¨¹¦Â©â¨¹¦Í.P.R.Migoo,"Atlanta, GA",Georgia,
1k_Blessed,"Atlanta, GA",Georgia,
Reggie Sharpe,"Hinesville, GA",Georgia,
Gustavo A.,"Atlanta, GA",Georgia,
LinGxd,Harlem,Georgia,
Garry,"Atlanta, GA",Georgia,
Markez Love,"Jonesboro, GA",Georgia,
Everybody hates Stan,"Lawrenceville, GA",Georgia,
"class of '18 Â©¨¹¦Â©â¨¹¦Â©â¨¹¦Â©â¨¹¦Â©â¨¹¦Â©â¨¹¦¬""Douglasville"," GA""",Georgia,
Britney Jones,"Atlanta, GA",Georgia,
America,"Athens, GA",Georgia,
"PROFIT Â©¨¹¦Â©â¨¹¦¬""Atlanta"," GA""",Georgia,
Nauti,"Atlanta, GA",Georgia,
Lawson Weddington,"Marietta, GA",Georgia,
Marcus Boone,"Atlanta, GA",Georgia,
J0EPESCi,"Atlanta, GA",Georgia,
Trap Daddy,"Atlanta, GA",Georgia,
Alexa Wilder,"Sharpsburg,GA",Georgia,
Young OG,"Lawrenceville, GA",Georgia,
Real Life Basketball,"Marietta, GA",Georgia,
